$	~*[,DOL][,SIS][,SI]
弗	~*[VJ]
弘	~*[QUA]
弛	~*[QAL]
弟	~*[TP][BQIP][BQP]
弡	~*[QFF]
弥	~*[QNS]*[QRX]*[QVS]
弦	~*[QLW]
弧	~*[QG][QGA][QGNV][QGN]
弩	~*[GUQ]
弭	~[QRJV][QRJ]
弯	~*[LFQ][ISSQ][SISQ]
弱	~*[QB][QBQB][QMQM]
弴	~*[QLZ][QLHZ][QLOZ]
張	~*[QEK]
強	~*[QOC]*[QUC]
弸	~*[QUU]
弼	~*[QTDQ]
弾	~*[QOJ][QBQJ][QOOJ][QSQJ]
彁	~*[QTOO]
彅	~*[QBD][QBED]
彈	~[QBQJV][QOJV][QOOJV][QSQJV][QBQJ][QOJ][QOOJ][QSQJ]
彊	~*[QEQE]
彌	~[QNSV][QRXV][QVSV][QNS][QRX][QVS]
彎	~*[SQ][ISSQV][LFQV][SISQV][ISSQ][LFQ][SISQ]
彑	~[CEEV][CEE]
当	~*[SO][SEE][SNOQ]
彖	~*[CEQ]
彗	~[FFEV][FFE]
彙	~*[CENT]*[CNQT]
彜	~*[EMBR][CEMRV][CEMR]
彝	~*[CEMR]*[EMSR]
彡	~*[,MP][MP]
形	~*[KM][KMP]
彦	~*[LLM]*[LPM]*[LPP]*[WLM]
彧	~*[AFOE]*[AQME]*[AQOM]*[AXME][AQOEV][HMXV][AQOE][HMX]
彩	~*[EM][ETM][MMP]
彪	~*[ZRM]
彫	~*[NMP][NYOM]
彬	~*[TTM]
彭	~*[YDM]*[YMV]
彰	~*[LM][LDJM]
影	~*[DM][DLOM][DLSM]
彳	~*[MII]*[,MI]
彷	~*[MIF]
役	~*[MIRU]
彼	~*[MIP]
彿	~[MIVV][MIV]
往	~*[MK][MIAK]
征	~*[MIEZ]
徂	~*[MIM]
徃	~*[MIS]
径	~*[MISI]*[MIUY][MIUIV][MIUI]
待	~*[DC][MIYA]
徇	~*[MIND]
很	~[MIDK][HNV][HN]
徊	~*[MIOO]
律	~*[MIE]
後	~*[I][MIWP]
徐	~*[MIBH][MIATV][MIAT]
徑	~*[MIEI][MISIV][MIUIR][MIUYV][MISI][MIUI][MIUY]
徒	~*[MIYZ]
従	~*[MZ][BBN][MIBZ]
得	~*[DD][MIDA]
徘	~*[MIRS]
徙	~*[MIZZ]
從	~[BBNS][MIBZV][BBN][MIBZ][MZ]
徠	~*[MIL]
御	~*[MPV][MIVP][MIWPV][MIWP]
徨	~*[MIPK]
復	~*[MIV][MIVPV][VDPV][VXV][MIVP][VDP][VX]
循	~*[MM][MIKM][MIXM]
徭	~*[MIEE]*[MIEU]*[MIUE]*[MIUU]
微	~*[RZ][MIEP][MIRP]
徳	~*[MH][MIJ][MIJH]
徴	~*[KP][MIKP][MIEPV][MIEP]
德	~[MIJHV][MIJV][MH][MIJ][MIJH]
徹	~*[MIT][MICD][MITP]
徼	~*[MIPP]
徽	~*[MISP][MIEPR][MIEP]
心	~*[HA]
必	~*[HP][HPX]
忌	~*[FLH]
忍	~*[DAH]
忖	~*[HAA]
志	~*[YHA]
忘	~*[FHA]
忙	~*[HFL]
応	~*[IA][LHA]
忝	~*[EDF]*[EDH]*[GNF]*[GNH]*[PDF]*[PDH]
忞	~[WHAV][WHA]
忠	~*[CHA]
忤	~*[HWJ]
快	~*[HJN]
忰	~*[HKJ]
忱	~*[HKL]*[HNR]
念	~*[AYH]
忸	~*[HEE]
忻	~*[HKI]
忽	~*[NMH]
忿	~*[BDH]
怎	~*[VH][VFH]
怏	~*[HCN]
怐	~*[HNO]
怒	~*[GH][GUH]
怕	~*[HPD]
怖	~*[HXN]
怙	~*[HJO]
怛	~*[HDE]
怜	~*[HAP]*[HAT][HMCSV][HMCS]
思	~*[QHA]
怠	~*[UOH]
怡	~*[HUO]
急	~*[NEH]
怦	~[HPJV][HPJ]
性	~*[HSE]
怨	~*[CPH]
怩	~*[HCF]
怪	~*[HUI]*[HUY]
怫	~*[HVJ]
怯	~*[HYU]
怱	~*[NQH]
怺	~*[HUN]
恁	~*[PKH]
恂	~*[HND]
恃	~*[HYA]
恆	~[HDAEV][HEDEV][HDAE][HEDE]
恊	~*[HDDD]
恋	~*[LFH][ISSH][SISH]
恍	~*[HSER]
恐	~*[IH][IRAH][IZH]
恒	~*[HDAE]*[HEDE]
恕	~*[GOH]
恙	~*[BKH]
恚	~*[YYH]
恝	~[FDHV][HDHV][FDH][HDH]
恟	~*[HNXU]
恠	~*[HXIY]
恢	~*[HLF]*[HXF]
恣	~*[BIH]*[RIH]
恤	~*[HPF]
恥	~*[RHA]*[RZE]
恨	~*[HDK]
恩	~*[ODH]
恪	~*[HPO]
恫	~*[HNEO]
恬	~*[HGO]
恭	~*[RBF]*[RBH]
息	~*[PMH]
恰	~*[HAO]
恵	~*[JH][CUH][JQH][JQUH][CHAV][CHA]
恷	~*[PTH]
悁	~*[HOU]
悃	~*[HOT]
悄	~*[HU][HSUV][HSU]
悅	~[HBORR][HFV][HRVV][HBOR][HF][HR][HRV]
悉	~*[ETH][MHAV][MHA]
悊	~[JKHV][JKH]
悋	~[HWOV][HWO]
悌	~*[HTP][HBQP]
悍	~*[HDG]
悒	~*[HOC][HOCL]
悔	~*[HM][HVOJ][HVOM][HVOX]
悖	~*[HJNZ]
悗	~*[HEL][HDCR][HNCR]
悚	~*[HJCS][HVSV][HVS]
悛	~*[HHX][HUBP][HURP]
悟	~*[HWO]
悠	~*[PIPH]
患	~*[CCH]
悦	~*[HF][HRV][HBORV][HBOR]
悧	~*[HHR]
悩	~*[HSI]*[HSO][HSPO][HSWU][HSXU]
悪	~*[OHA][EFEH]
悲	~*[QT][RSSH]
悳	~*[JHA][JMEH][JMLH]
悴	~*[HJJ]
悵	~*[HEK]
悶	~*[MHA]*[MHV]
悸	~*[HHZ]
悼	~*[HQJ][HZDJ]
悽	~*[HJG][HJEG]
情	~*[HHU]
惆	~[HNOR][HNYOV][HNO][HNYO]
惇	~*[HLZ][HLHZ][HLOZ]
惑	~*[HHA][AQOH]
惓	~*[HPL][HBNL][HBNP]
惕	~*[HEP][HDNM]
惘	~*[HNBF]
惚	~*[HNMH]
惜	~*[HRD]
惞	~[HKIV][HKI]
惟	~*[HV][HVEV][HVE]
惠	~[CHAR][CUHV][JHV][JQHV][JQUHV][CHA][CUH][JH][JQH][JQUH]
惡	~[OHAV][OHA]
惣	~*[SNMH]
惧	~*[HMEB]
惨	~*[HUM][HUDM][HUUM]
惰	~*[HXIU]
惱	~*[HWU][HLXU][HSPX][HSXO][HSOV][HSPOV][HSWUV][HSXUV][HSO][HSPO][HSWU][HSXU]
惲	~*[HNC]
想	~*[TH][TMH]
惴	~*[HDI]*[HER][HETR]
惶	~[HPDKV][HPDK]
惷	~*[FNDH]
惹	~*[RM][RXOH][ROHV][ROH]
惺	~[HDSV][HDS]
惻	~*[HMBR]
愀	~*[HHF]
愁	~*[HFH]
愃	~*[HNE][HNEE]
愆	~*[MIWH]
愈	~*[AHA][AURH]
愉	~*[HAI][HAUR]
愍	~*[OXPH]
愎	~*[HVX][HVDP]
意	~*[LDH]
愑	~*[HTND]*[HTQD][HTDV][HTD]
愕	~*[HOOK][HOKV][HOK]
愚	~*[QH][QNUH]
愛	~*[HX][ENHP][ENXU]
感	~*[AH][AQPH][AQVH][KHA]
愠	~[HDFV][HOBFV][HDF][HOBF]
愡	~*[HNQH]
愧	~*[HVA][HPQU]
愨	~*[YNEH]*[YNRH]
愬	~*[BEUH]
愰	~*[HDSR]
愴	~*[HBP][HADO]
愷	~*[HED][HEFL]
愼	~*[HFMB][HJBV][HJMBV][HJB][HJMB]
愽	~*[HIA][HAJA]
愾	~*[HKM]*[HKZ][HKLV][HKL]
愿	~*[LPDH][YHAR][YHA]
慂	~*[WTNH]
慄	~*[HCT]
慇	~*[PDNH]*[PDYH]
慈	~*[BHV][BEWH][RWWH][BH]
慊	~*[HQN][HBEF]
態	~*[UH][UHA][UUFH][DAHV][DAH]
慌	~*[HS][HRFS]
慍	~*[HDF][HOBF]
慎	~*[HJB][HJMB]
慓	~*[HCRS]
慕	~*[RDDF]*[RDDH]
慘	~[HUDMV][HUMV][HUUMV][HUDM][HUM][HUUM]
慙	~*[CKH]
慚	~*[HCK]
慝	~*[FROH]*[FRXH]
慟	~*[HTD][HGQD]
慢	~*[HMX][HDFU]
慣	~*[HOA][HOMB][HOXB]
慥	~*[HSOW]
慧	~*[FH][FFEH]
慨	~*[HDL][HDUK][HPDK]
慫	~[BBHV][MIBHV][BBH][MIBH]
慮	~*[ZH][ZHA][ZQH]
慯	~*[HVDM][HVER][HVE]
慰	~*[CM][CAH][CRSH]
慱	~*[HXA][HCUA][HJQA]
慳	~*[HRUY]
慴	~*[HEED]
慵	~*[HLEQ]
慶	~*[LDN][LYHP]
慷	~*[HLEW]
慾	~*[WIH][BBOH]
憂	~*[YX][HAK][TDNP][TMNP]
憇	~[GOGHV][GOGH]
憊	~*[PHA][PRLH][PRPH][PQHV][PQH]
憎	~*[HBO][HBQD]
憐	~*[HMC][HMCS][HAPV][HATV][HAP][HAT]
憑	~*[BMFH][PKRV][PKR]
憔	~*[HVF]
憖	~*[LADH]
憘	~*[HYDO]*[HYOO]
憙	~*[YDOH]*[YOBH]*[YORH]
憚	~*[HOJ][HBQJ][HOOJ][HSQJ]
憤	~*[HJA][HJRB]
憧	~*[HLQ]
憩	~*[GOGH]*[GOPH]
憫	~*[HMW]
憬	~*[HDLS]
憮	~*[HGL][HVFF][HEKV][HEK]
憲	~*[NH][NFFH][NHFH][NSR]
憶	~*[HZL]*[HZZ][HLDH]
憺	~*[HVO][HNBI][HNLI]
憾	~*[HKH][HAQH]
懃	~*[RCDH]
懆	~*[HLT][HOOT]
懇	~*[DKH][EQDH][UQDH]
懈	~*[HNDS]
應	~*[LSE][LPVH][IAV][LHAR][IA][LHA]
懊	~*[HD][HPND][HPOB]
懋	~*[TMTH]
懌	~*[HFY][HFYG][HCNR][HCN]
懍	~*[HLOH]*[HLOS]
懐	~*[HJFK]*[HLFK]
懣	~*[WRNH][MHAR][MHA]
懦	~*[HUR][HUTR]
懲	~*[KH][MIEH][MIKH]
懴	~*[HJAE]
懶	~*[HJCB]*[HJCT]*[HVSB]*[HVST]
懷	~*[HK][HBA][HJFKV][HLFKV][HJFK][HLFK]
懸	~*[MUH][MBEH][MBPH][MLSH]
懺	~*[HGJ][HBBE]
懼	~*[QV][HMMV][HVV][HMEBV][HMEB][HV]
懽	~*[HRE][HROV]
懾	~*[HRRR]*[HRUU]
懿	~*[YNDH]
戀	~[ISSHV][LFHV][SISHV][ISSH][LFH][SISH]
戈	~[AQXV][AQX]
戉	~*[AQI]
戊	~*[AQP]
戌	~*[AQV][AQPE]
戍	~*[AQB][AQPA]
戎	~*[AQJ]*[AQX]
成	~*[AY][AQN][AQPY]
我	~*[IX]
戒	~*[AQR]
戓	~[AQOS][AQO]
戔	~*[AFX][AQAQ][KXV][KX]
或	~*[HE][AQOE]
戚	~*[AS][AQPS]
戛	~*[TMAQ]
戝	~[MBAQV][MBAQ]
戞	~*[TDNQ]*[TMNQ]
戟	~*[JDJQ][JAQ]
戡	~*[KAQ]*[KQV][KLRQ][KRLQ]
戦	~*[OQ][OAQ][OOQQ][SQJQ][ZOAQ]
截	~*[JVV][JAQV]
戮	~*[EEBQ]*[EMAQ]
戯	~*[ZQ][ZFEQ]
戰	~[BQJQ][OAQV][OOQQV][OQV][SQJQV][ZOAQV][OAQ][OOQQ][OQ][SQJQ][ZOAQ]
戲	~*[UAQ][ZDAQ][ZFEQV][ZQV][ZFEQ][ZQ]
戳	~*[EEVQ]
戴	~*[JB][JAQB]
戸	~*[FP]
戻	~*[FDN]
房	~*[FFY]
所	~*[FKI]
扁	~*[FMJ]
扇	~*[FEE]
扈	~*[FOC][FOCL]
扉	~[FRSSR][FRSS]
手	~*[HJ]
才	~*[UP][UXV][UX]
扎	~*[JLL]
打	~*[JTI]
払	~*[JUA]
托	~[JGLV][JGL]
扛	~*[JIE]
扞	~*[JGJ]
扠	~[JUAV][JUA]
扣	~*[JOV][JOOV][JOO]
扨	~*[JDN]
扮	~*[JBD]
扱	~*[JPU]*[JRN]
扶	~*[JQN]
批	~*[JBL]
扼	~*[JLP]
找	~*[JAQ]
承	~*[WSJ][WSBB]
技	~*[JJU]
抂	~*[JKE]
抃	~*[JJA][JLPV][JLP]
抄	~*[JSP]
抉	~*[JJV][JJNV][JJN]
把	~*[JCL]
抑	~*[JFP]
抒	~*[JUI]
抓	~*[JEI]*[JEN]
抔	~[JBAV][JBA]
投	~*[JRU]
抖	~*[JDJ]
抗	~*[JLR]
折	~[JKIV][JKI]
抛	~*[JKD]
抜	~*[JAX]*[JXU][JAXU][JAXX]
択	~*[JCN]*[JFY]*[JUQ][JFYG]
抦	~*[JENB]*[JTNB][JENV][JEN]
披	~*[JPX]
抬	~*[JUO]
抱	~*[JNL][JNFL][JNOL]
抵	~*[JXE]
抹	~*[JYS][JQBV][JQB]
抻	~*[JII][JIQI]
押	~*[JQI]
抽	~*[JIQ]
拂	~*[JVJ]
担	~*[JDE]
拆	~*[JKA]
拇	~*[JOM]
拈	~*[JZO]
拉	~*[JLE]
拊	~*[JPA]
拌	~*[JBJ]
拍	~*[JPD]
拏	~[GUHV][GUH]
拐	~*[JOD]*[JON]
拑	~[JGOV][JGO]
拒	~*[JFF]
拓	~*[JLO]
拔	~[JAXUV][JAXV][JAXXV][JAX][JAXU][JAXX]
拗	~*[JWD]
拘	~*[JNO]
拙	~*[JEE]*[JEU]
招	~*[JDO]
拜	~*[HFJ]
拝	~*[JFJ]
拠	~*[JPR]
拡	~*[JLU]
括	~*[JGO]
拭	~*[JAXI]
拮	~*[JYO]
拯	~*[JWE]
拱	~*[JRB]
拳	~*[BNH]
拵	~*[JXIZ]
拶	~*[JSC]
拷	~*[JRK][JYPK]
拾	~*[JAO]*[,DJ]
拿	~*[AOH]
持	~*[JYA]
挂	~*[JYY]
指	~*[JFD]
挈	~*[FDH]*[HDH]
按	~*[JNG]
挌	~*[JPO]
挑	~*[JRA][JRBBV][JRBB]
挙	~*[EQ][EHJ][EQJ][SEBH][SEBQ]
挟	~*[JGN]
挧	~[JEER][JEE]
挨	~*[JAN][JUVD]
挫	~*[JY][JBBY]
振	~*[JFK]
挺	~*[JW][JKWV][JKW]
挽	~*[JEL][JDCR][JNCR]
挾	~[JGNV][JGN]
挿	~*[JGG]*[JGQ][JGQI]
捉	~*[JOZ]
捌	~*[JODR]*[JONR]*[,DB][,DBV]
捍	~*[JDG]
捏	~*[JDY]*[JGY]
捐	~*[JOU]
捕	~*[JIJ][JAJQ]
捗	~*[JZS]
捜	~*[JGU]*[JIU][JIGU][JIQU]
捧	~*[JFNQ]
捨	~*[JBO][JBGO][JBYO]
捩	~*[JFAD][JFDV][JFD]
捫	~*[JMI]*[JMY]
据	~*[JCJO]
捲	~*[JPL][JBNL]
捶	~*[JGE][JGJY][JGRY]
捷	~*[CZ][JJEZ][JJZ][JZEZ]
捺	~*[JDRS]
捻	~*[JAYH]
掀	~*[IZ][JIV][JKIR][JKI]
掃	~*[JEJ][JENN][JEE]
授	~*[KG][JENU]
掉	~*[JQJ][JZDJ]
掌	~*[SHV][SNOH]
掎	~*[JDTO][JVOV][JVO]
掏	~*[JNWU][JNIV][JNI]
排	~*[JS][JRSS]
掖	~*[JLX][JLPU]
掘	~*[JCEE]*[JCEU]
掛	~*[JPV][JYYP]
掟	~*[JNEZ]
掠	~*[JLS][JLOS]
採	~*[JET]*[JMN][ETNV][ETN]
探	~*[JNN][JNBT][JNRT]
掣	~*[SNRH]
接	~*[JLG]
控	~*[JI][JNBI][JNRI]
推	~*[JVE]
掩	~*[JXL][JDIL][JDQL]
措	~*[JRD]
掫	~[JRUV][JRU]
掬	~*[JNM]
掲	~*[JDL][JDNF][JDNL]
掴	~*[JOKA]
掵	~*[JAOP]
掻	~*[JUC][JUAC][JUBC]
掾	~*[JCEQ]
揀	~[JJQS][JCSV][JSV][JCS][JS]
揃	~*[JBI][JBER]
揄	~*[JAI][JAUR]
揆	~*[JKN][JJED][JJGN]
揉	~*[JMT]
描	~*[JRQ]
提	~*[JJN][JDEZ]
插	~[JGGV][JGG]
揖	~[JORV][JOR]
揚	~*[JEP][JDEM]
換	~*[JD][JNND][JNOB][JNCV][JNC]
握	~*[JCP]
揣	~*[JDI]*[JER][JETR]
揩	~*[JBPD]
揮	~*[JNC]
援	~*[JEX][JEGU]
揵	~*[JEW]
揶	~[JRBV][JRB]
揺	~*[JUU][JEWU][JUWU][JEGUV][JEGU]
搆	~*[JJE][JJNY]
損	~*[JM][JOMB]
搏	~*[JAV]*[JIA][JAJA]
搓	~*[JBHI]*[JBKI]
搖	~[JEGUR][JEWUV][JUUV][JUWUV][JEGU][JEWU][JUU][JUWU]
搗	~*[JNE]
搜	~*[JGIU][JGUV][JIGUV][JGU][JIGU]
搦	~*[JQBB]*[JQMM]
搨	~*[JDEE]
搬	~*[JU][JZRU][JZU]
搭	~*[JRO][JRAO]
搴	~*[NJH][NJBH]
搶	~*[JO][JADO][JBP]
携	~*[JVM]*[JVR]*[JVU][JEVO]
搾	~*[JNBE]*[JNBF]*[JNRE]*[JNRF]
摂	~*[JRF][JRBB]
摎	~*[JEM][JEEM]
摘	~*[JXO][JLNO]
摠	~*[JBOH]*[JPOH][JPAV][JPA]
摧	~*[JEV]
摩	~*[LTTH]
摯	~*[YH][JZH][YBGH]
摶	~*[JXA][JCUA][JJQA]
摸	~*[JDV][JRDD]
摺	~*[JEED]
撃	~*[CH][CRUH][CURH][QUIV][QUI]
撈	~*[JFFD]*[JRND]*[JSND]
撒	~*[JRX][JRUP]
撓	~*[JYR][JQER][JYYR]
撕	~*[JKBK]
撚	~*[JJF][JEAF][JUAF][JNBFV][JNRFV][JNBF][JNRF]
撝	~*[JWA][JBWF][JEWF][JYWF]
撞	~*[JLQ]
撤	~*[JP][JTUP][JTX]
撥	~*[JFX]*[JJK][JJQU]
撩	~*[JLA][JDBS]
撫	~*[JF][JEK][JVFF][JGLR][JGL]
播	~*[JMQ]
撮	~*[JDRU]
撰	~*[JFLB]*[JOLB]
撲	~*[JFB]*[JVN][JFED]
撹	~*[JSR][JSNR]
撻	~*[JDW]*[JYW][JYBW]
撼	~*[JKH][JAQH]
擁	~*[JV][JLWV][JNQ]
擂	~[JUQR][JUQ]
擅	~*[JLOE]
擇	~[JCNV][JFYGV][JFYV][JUQV][JCN][JFY][JFYG][JUQ]
操	~*[XT][JLT][JOOT]
擎	~*[NHJ][RNOH]
擒	~*[JLV][JBLU][JBWU][JBLV][JBL]
擔	~*[JVO][JNLI][JDER][JNBIV][JDE][JNBI]
擘	~*[PHJ][COLH]
據	~*[JZN][JZEQ][JCJOV][JCJO]
擠	~*[JWH]*[JWR]
擡	~*[JTE][JYOP]
擢	~*[JEEV]
擣	~*[JYYA][JFAV][JFA]
擦	~*[JNJ][JNJS]
擧	~[EHJV][EQJV][SEBHV][EHJ][EQJ][SEBH]
擬	~*[JZ][JFVZ][JUB]
擯	~*[JBV][JNKB][JNPB][JNSB]
擱	~*[JMPO]
擲	~*[JGB][JBEB][JBGB]
擴	~*[JLK][JLRB][JLPR][JLUV][JLP][JLU]
擶	~*[JZB][JZBR]
擺	~*[JFU][JFUF][JFYU]
擽	~*[JPDT]*[JWPT][JRNV][JRN]
擾	~*[JYX][JTDP][JTMP]
攀	~*[TXXH]
攅	~*[JQAB]*[JQNB]
攘	~*[JLN][JLJK][JLOK]
攜	~*[JEVM]*[JEVR]*[JEVT]*[JEVU][JEVOV][JVMV][JVRV][JVUV][JEVO][JVM][JVR][JVU]
攝	~*[JRV][JRRR][JRUU]
攣	~[ISSHR][LFHR][SISHR][ISSH][LFH][SISH]
攤	~*[JUV][JRCV]
攪	~[JSNRV][JSNR]
攫	~*[JMMU]
攬	~*[JVL][JRFR][JRMR][JRVR]
支	~*[JUX]
攴	~*[ZUX]
攵	~[,PXV][PXS][PX][,PX]
收	~[GPXV][GPX]
攷	~[KPXV][KPX]
攸	~*[PIP]
改	~*[FLP]
攻	~*[IPX]
放	~*[FPX]
政	~*[EZP]
故	~*[JX][JOP]
效	~[LXDV][LXPV][LXD][LXP]
敍	~*[ATZU]*[BHZU][BHPR][BHP]
敎	~[GPR][XXZPV][GP][XXZP]
敏	~*[VX][VOJP][VOMP][VOXP]
救	~*[AP][AJWP][NPX]
敕	~*[VSP][JCSP]
敖	~*[HNP][YFPV][YFP]
敗	~*[MBP]
敘	~*[ATP][ATZUV][BHPV][BHUV][BHZUV][ATZU][BHP][BHU][BHZU]
教	~*[GP][XXZP][YPZP]
敝	~[SNSP][BXV][BX]
敞	~[SNOP][SXV][SX]
敢	~*[IRP]*[TRP]
散	~*[RX][RUP]
敦	~*[LZP][LHZP][LOZP]
敬	~*[NX][RNOP]
数	~*[MGP]
敲	~*[QJU]*[QZU][LHNUV][LNOUV][LONUV][LHNU][LNOU][LONU]
整	~*[Z][JCSZ][VSPZ]
敵	~*[GOP]*[XPX][LNJP]
敷	~*[IFP][AJNP]
數	~[MGPV][MGP]
斂	~*[ACP]*[APX]*[OPX][AOOP][ASEP]
斃	~*[SNSF][BDFV][BDF]
文	~*[WX]
斈	~*[WZJ]
斉	~*[WHE]*[WRI]
斌	~[WEAZ][WWEV][WWV][WW][WWE]
斎	~*[WHS][WRRS]
斐	~*[RSSW]
斑	~*[KWK]
斗	~*[DJ]
料	~*[MDJ]
斛	~*[NDJ]
斜	~*[ATD]*[BHD]
斟	~*[KDJ]*[KDV][KLRDV][KRLDV][KLRD][KRLD]
斡	~*[JDJD][JBDV][JBD]
斤	~*[KI]
斥	~*[KAV]*[KAX][KAAR][KAA]
斧	~*[BXK]
斫	~[LOK]
斬	~*[CKI]
断	~*[FK][LMK][MLK]
斯	~*[KBK]
新	~*[LI][LTK]
斷	~[FWWK][LWWK][WWEK][WWFK][LMKV][MLKV][FK][LMK][MLK]
方	~*[FY]
於	~*[FBB]*[UBB]
施	~*[FVA]
旁	~*[GY][LNF]
旃	~*[FVNL]
旄	~*[FVM]
旅	~*[FVK]
旆	~*[FVJN]*[FVLN]
旋	~*[FVFB]*[FVYZ]
旌	~*[FVS]
族	~*[AV][FVVD]
旒	~*[FVTS]
旗	~*[FG][FBV][FVKB]
旙	~*[FMQ]
旛	~*[FVMQ]
无	~[EKLV][GLLV][EKL][GLL][KL]
旡	~[FRLV][FRL][KL]
既	~*[DL][DUK][PDFK]
日	~*[DO]
旦	~*[DEV][DEEVV][DE][DEE][DEEV]
旧	~*[RG][IDO][RVG]
旨	~*[FDO]
早	~*[DJJ]
旬	~*[NDO]
旭	~*[KDO]
旱	~*[DGJ]
旺	~*[DKE]
旻	~*[DWX]
昀	~*[DNB]*[DNR]
昂	~*[DFP]*[DIP]
昃	~*[DLB]
昆	~*[DBL]
昇	~*[DXJ]
昉	~*[DFY]
昊	~*[DED][DGNV][DGN]
昌	~[DDOV][DDO]
明	~*[DUE]
昏	~*[XDO]
易	~*[EP][DNM]
昔	~*[RDO]
昕	~*[DKI]
昜	~[DENM][EPR][EP]
昞	~*[DEN][DENB][DTNB]
星	~*[DSE]
映	~*[DCN]
昤	~*[DAP]*[DAT]
春	~*[FND]
昧	~*[DQB]*[DYS]
昨	~*[DVF]
昭	~*[DDO]
昮	~*[DID]
是	~*[JN][DEZ]
昱	~*[DLE]
昴	~*[DDP]
昵	~*[DCF]
昶	~*[UDO]
昻	~[DFPV][DIPV][DFP][DIP]
昼	~*[EDE][CNDE]
昿	~*[DLU]
晁	~*[DRA][DRBB]
時	~*[H][DYA][DAAR][DAA]
晃	~*[DSER]
晄	~[DSERV][DSER]
晉	~[EFEDV][EUUDV][ODOV][EFED][EUUD][ODO]
晋	~*[ODO][EFED][EUUD]
晏	~*[DNG]
晒	~*[DCO]
晗	~*[DAYO]
晙	~*[DUBP]*[DURP][DHXV][DHX]
晝	~[CNDEV][EDES][CNDE][EDE]
晞	~*[DXXN]
晟	~*[DAY][DAQN][DAQY]
晢	~[JKDV][JKD]
晤	~*[DWO]
晥	~*[DNRR]
晦	~*[DVOJ]*[DVOM]*[DVOX]
晧	~*[DSO]
晨	~*[DFK]
晩	~*[DR][DDCR][DEL][DNCR]
普	~*[BDO]*[BOD][BEFD]
景	~*[DS][DLOS][DLS]
晰	~*[DTK]
晳	~[TKDV][TKD]
晴	~*[DHU]
晶	~*[DDD]
智	~*[VD][VDOD]
暁	~*[DYR][DJRR][DQER][DYYR]
暃	~*[DRSS]
暄	~*[DNE][DNEE]
暇	~*[DOX][DOFU]
暈	~*[DNC]
暉	~[DNCV][DNC]
暎	~*[DRC]
暑	~*[DHO][DYPD][CYDV][CYD]
暖	~*[DEX][DEGU]
暗	~*[DLD]
暘	~*[DEP][DDEM]
暙	~*[DFND]
暝	~*[DNDL]
暠	~*[DLHO]*[DLNO]*[DLOO][DQOV][DQO]
暢	~*[IEP][IDEM][IQIE][IQIM]
暦	~*[LHHD]*[LTTD]
暫	~*[CKD]
暮	~*[RDV][RDDDV][RDDD]
暲	~*[DLDJ]
暴	~*[DW][DRBW]
暸	~*[DLA][DDBS]
暹	~*[DVW]
暼	~*[SNSD][BDOR][BDO]
暾	~*[DLHP]*[DLOP]*[DLZP]
暿	~*[DYDO]*[DYOO]
曁	~*[DDE][DUKE][PDFE]
曄	~*[DAJ][DPFJ][DRJQ][DRRJ]
曇	~*[DUT]
曉	~[DQERV][DYRV][DYYRV][DQER][DYR][DYYR]
曖	~*[DHX][DENP]
曙	~*[DFH][DFYD]
曚	~*[DNRQ]
曜	~*[DVV][DEEV]
曝	~*[DDRW]
曠	~*[DLK][DLRB][DLUV][DLU]
曦	~*[DBKK]*[DBKR]
曩	~*[DLOK][DLNV][DLN]
曰	~[DOV][DO]
曲	~*[FO][ROR]
曳	~*[IQX]*[QXX][IXV][IX]
更	~*[TX][TQX]
曵	~*[AIX][AIQX][AQXR][AQX]
曷	~*[DNF][DNBL][DNLB][DLV][DL]
書	~*[ASJ]*[AXJ]*[EDO]
曹	~*[RFD][RORDV][RORD]
曺	~*[JQD]*[LQD]
曻	~*[DCJ]*[DCS]
曼	~*[MX][DFU]
曽	~*[BO][BQD]
曾	~[BOV][BQDV][BO][BQD]
替	~*[TD][QAQD][QNQD]
最	~*[DRU]
會	~*[AQD][ADAV][ADV][BTAV][AD][ADA][BTA]
月	~*[UE]
有	~*[X][XUE]
朋	~*[UUE]
服	~*[UU][UPU]
朎	~[UAPV][UATV][UAP][UAT]
朏	~*[UEU][UEEV][UEE]
朔	~*[BEU]
朕	~*[UGN][UBED][UBGN]
朖	~*[UAN][UADK]
朗	~*[AUE][ADKU][ADUU]
望	~*[FUK]
朝	~*[JUE][JDJU]
朞	~[KBUV][KBU]
期	~*[KBU]
朦	~*[URNQ]
朧	~*[UAL][UAKP][ULUL]
木	~*[TN]
未	~*[QBN]*[YSN]
末	~*[YS][YSV][QBNV][YSNV][QBN][YSN]
本	~*[TEJ]
札	~*[TLL]
朮	~[ATLR][ATNR][ATL][ATN]
朱	~*[SBN]*[SSN]
朴	~*[TPA]
朶	~*[RTN]
朷	~[TDPV][TDP]
朸	~[TDXR][TDYR][TDX][TDY]
机	~[TRZ][TRLV][G][TRL]
朽	~*[TKK]
朿	~[JNSV][JNV][JN][JNS]
杁	~*[TBN][TBPV][TBP]
杆	~*[TGJ]
杉	~[TMPV][TMP]
李	~*[TZJ]
杏	~[TOOV][TOO]
材	~*[TUP]
村	~*[TAA][EBIR][EBI]
杓	~*[TNA]
杖	~*[TQV][TQXV][TQX]
杙	~*[TAX]
杜	~*[TYE]
杞	~*[TFL]
束	~*[JCS]*[VSN]
杠	~[TIEV][TIE]
条	~*[PTN]
